0	        H2 
0.00091283	1681.685	0.045686880066
0.00093750	1682.647	0.045327590957
0.00096217	1683.504	0.044998407465
0.00098684	1684.263	0.044695496025
0.00101151	1684.932	0.044415722455
0.00103618	1685.519	0.044156495369
0.00108553	1686.463	0.043693292392
0.00113487	1687.156	0.043287433993
0.00118421	1687.632	0.042929139239
0.00123355	1687.922	0.042610934825
0.00128289	1688.048	0.042326992573
0.00138158	1687.870	0.041847979245
0.00148026	1687.272	0.041452589639
0.00157895	1686.338	0.041122423680
0.00167763	1685.133	0.040844138696
0.00177632	1683.709	0.040607774383
0.00187500	1682.106	0.040405718016
0.00197368	1680.358	0.040232036255
0.00207237	1678.493	0.040082028592
0.00217105	1676.538	0.039951920010
0.00226974	1674.512	0.039838643826
0.00236842	1672.437	0.039739684635
0.00246711	1670.329	0.039652962339
0.00256579	1668.204	0.039576744958
0.00266447	1666.074	0.039509582070
0.00276316	1663.954	0.039450253401
0.00286184	1661.853	0.039397728776
0.00296053	1659.782	0.039351136824
0.00305921	1657.750	0.039309740631
0.00315789	1655.764	0.039272919050
0.00325658	1653.832	0.039240152436
0.00335526	1651.962	0.039211009738
0.00355263	1648.424	0.039162464816
0.00375000	1645.160	0.039122952392
0.00394737	1642.194	0.039090590681
0.00414474	1639.541	0.039063939866
0.00434211	1637.209	0.039041891296
0.00453947	1635.205	0.039023594874
0.00473684	1633.530	0.039008411175
0.00513158	1631.194	0.038985908337
0.00552632	1629.960	0.038969481529
0.00592105	1629.719	0.038957326057
0.00631579	1630.304	0.038948232661
0.00671053	1631.488	0.038941380567
0.00710526	1632.973	0.038936212813
0.00750000	1634.357	0.038932361709
0.00789474	1635.088	0.038929610275
0.00868421	1632.108	0.038927136041
0.00947368	1616.893	0.038927939572
0.00986842	1601.379	0.038929614710
0.01026316	1578.985	0.038932319140
0.01065789	1559.983	0.038935213322
0.01085526	1551.359	0.038936633200
0.01105263	1543.225	0.038938020035
0.01115132	1539.257	0.038938700019
0.01125000	1535.340	0.038939370091
0.01134868	1531.458	0.038940029316
0.01144737	1527.615	0.038940675421
0.01164474	1520.151	0.038941916388
0.01174342	1516.860	0.038942490905
0.01184211	1514.267	0.038943017357
0.01203947	1513.184	0.038943886907
0.01223684	1511.894	0.038944618722
0.01243421	1510.448	0.038945257855
0.01263158	1508.883	0.038945833001
0.01302632	1505.488	0.038946848084
0.01342105	1501.930	0.038947772026
0.01421053	1494.633	0.038949440164
0.01500000	1487.344	0.038950972210
0.01578947	1480.199	0.038952391672
0.01657895	1473.199	0.038953712535
0.01736842	1466.289	0.038954945391
0.01894737	1452.597	0.038957156821
0.02052632	1438.417	0.038959158792
0.02210526	1423.110	0.038961005347
0.02368421	1406.146	0.038962738145
0.02526316	1387.015	0.038964388773
0.02684211	1365.323	0.038965977819
0.02842105	1341.176	0.038967508611
0.02921053	1328.526	0.038968245412
0.03000000	1316.050	0.038968933678
0.03075000	1306.409	0.038969451901
0.03150000	1306.409	0.000000000000
4	        OH 
0.00000000	 300.000	0.000000000000
0.00002467	 367.811	0.000000582629
0.00004934	 434.126	0.000000751567
0.00007401	 499.022	0.000001050000
0.00009868	 562.738	0.000001531850
0.00011102	 594.294	0.000001887400
0.00012336	 625.688	0.000002327520
0.00013569	 656.957	0.000002866418
0.00014803	 688.139	0.000003520032
0.00015419	 703.715	0.000003901367
0.00016036	 719.285	0.000004318959
0.00016653	 734.855	0.000004775256
0.00017270	 750.427	0.000005273074
0.00017887	 766.008	0.000005815683
0.00018503	 781.600	0.000006406937
0.00019120	 797.208	0.000007051423
0.00019737	 812.836	0.000007754629
0.00020354	 828.488	0.000008523141
0.00020970	 844.167	0.000009364849
0.00021587	 859.877	0.000010289171
0.00022204	 875.622	0.000011307290
0.00022821	 891.404	0.000012432409
0.00023437	 907.226	0.000013680017
0.00024671	 938.995	0.000016569209
0.00025288	 954.949	0.000018302359
0.00025905	 970.952	0.000020248753
0.00027138	1003.103	0.000024835631
0.00028372	1035.447	0.000030683959
0.00029605	1067.978	0.000038177290
0.00030839	1100.676	0.000047801881
0.00032072	1133.509	0.000060167688
0.00033306	1166.430	0.000076030994
0.00034539	1199.373	0.000096316642
0.00035156	1215.821	0.000108628295
